Week,Week,Bitcoin
2019-03-24,2019-03-24,9
2019-03-31,2019-03-31,16
2019-04-07,2019-04-07,12
2019-04-14,2019-04-14,11
2019-04-21,2019-04-21,12
2019-04-28,2019-04-28,11
2019-05-05,2019-05-05,14
2019-05-12,2019-05-12,23
2019-05-19,2019-05-19,17
2019-05-26,2019-05-26,19
2019-06-02,2019-06-02,16
2019-06-09,2019-06-09,14
2019-06-16,2019-06-16,22
2019-06-23,2019-06-23,32
2019-06-30,2019-06-30,22
2019-07-07,2019-07-07,20
2019-07-14,2019-07-14,20
2019-07-21,2019-07-21,16
2019-07-28,2019-07-28,15
2019-08-04,2019-08-04,19
2019-08-11,2019-08-11,17
2019-08-18,2019-08-18,15
2019-08-25,2019-08-25,14
2019-09-01,2019-09-01,15
2019-09-08,2019-09-08,12
2019-09-15,2019-09-15,11
2019-09-22,2019-09-22,15
2019-09-29,2019-09-29,13
2019-10-06,2019-10-06,12
2019-10-13,2019-10-13,11
2019-10-20,2019-10-20,14
2019-10-27,2019-10-27,13
2019-11-03,2019-11-03,12
2019-11-10,2019-11-10,11
2019-11-17,2019-11-17,12
2019-11-24,2019-11-24,13
2019-12-01,2019-12-01,11
2019-12-08,2019-12-08,11
2019-12-15,2019-12-15,12
2019-12-22,2019-12-22,11
2019-12-29,2019-12-29,11
2020-01-05,2020-01-05,14
2020-01-12,2020-01-12,14
2020-01-19,2020-01-19,12
2020-01-26,2020-01-26,13
2020-02-02,2020-02-02,13
2020-02-09,2020-02-09,16
2020-02-16,2020-02-16,14
2020-02-23,2020-02-23,14
2020-03-01,2020-03-01,13
2020-03-08,2020-03-08,25
2020-03-15,2020-03-15,25
2020-03-22,2020-03-22,19
2020-03-29,2020-03-29,16
2020-04-05,2020-04-05,16
2020-04-12,2020-04-12,16
2020-04-19,2020-04-19,15
2020-04-26,2020-04-26,20
2020-05-03,2020-05-03,23
2020-05-10,2020-05-10,26
2020-05-17,2020-05-17,18
2020-05-24,2020-05-24,16
2020-05-31,2020-05-31,15
2020-06-07,2020-06-07,15
2020-06-14,2020-06-14,13
2020-06-21,2020-06-21,13
2020-06-28,2020-06-28,13
2020-07-05,2020-07-05,12
2020-07-12,2020-07-12,14
2020-07-19,2020-07-19,13
2020-07-26,2020-07-26,20
2020-08-02,2020-08-02,18
2020-08-09,2020-08-09,17
2020-08-16,2020-08-16,16
2020-08-23,2020-08-23,14
2020-08-30,2020-08-30,15
2020-09-06,2020-09-06,14
2020-09-13,2020-09-13,13
2020-09-20,2020-09-20,12
2020-09-27,2020-09-27,11
2020-10-04,2020-10-04,12
2020-10-11,2020-10-11,12
2020-10-18,2020-10-18,16
2020-10-25,2020-10-25,17
2020-11-01,2020-11-01,19
2020-11-08,2020-11-08,20
2020-11-15,2020-11-15,28
2020-11-22,2020-11-22,30
2020-11-29,2020-11-29,27
2020-12-06,2020-12-06,21
2020-12-13,2020-12-13,34
2020-12-20,2020-12-20,35
2020-12-27,2020-12-27,53
2021-01-03,2021-01-03,87
2021-01-10,2021-01-10,79
2021-01-17,2021-01-17,53
2021-01-24,2021-01-24,50
2021-01-31,2021-01-31,43
2021-02-07,2021-02-07,76
2021-02-14,2021-02-14,69
2021-02-21,2021-02-21,82
2021-02-28,2021-02-28,52
2021-03-07,2021-03-07,52
2021-03-14,2021-03-14,53
2021-03-21,2021-03-21,47
2021-03-28,2021-03-28,45
2021-04-04,2021-04-04,42
2021-04-11,2021-04-11,53
2021-04-18,2021-04-18,69
2021-04-25,2021-04-25,52
2021-05-02,2021-05-02,45
2021-05-09,2021-05-09,59
2021-05-16,2021-05-16,100
2021-05-23,2021-05-23,69
2021-05-30,2021-05-30,52
2021-06-06,2021-06-06,53
2021-06-13,2021-06-13,40
2021-06-20,2021-06-20,48
2021-06-27,2021-06-27,36
2021-07-04,2021-07-04,29
2021-07-11,2021-07-11,28
2021-07-18,2021-07-18,33
2021-07-25,2021-07-25,39
2021-08-01,2021-08-01,31
2021-08-08,2021-08-08,37
2021-08-15,2021-08-15,31
2021-08-22,2021-08-22,33
2021-08-29,2021-08-29,26
2021-09-05,2021-09-05,38
2021-09-12,2021-09-12,27
2021-09-19,2021-09-19,35
2021-09-26,2021-09-26,28
2021-10-03,2021-10-03,33
2021-10-10,2021-10-10,35
2021-10-17,2021-10-17,48
2021-10-24,2021-10-24,36
2021-10-31,2021-10-31,31
2021-11-07,2021-11-07,36
2021-11-14,2021-11-14,36
2021-11-21,2021-11-21,36
2021-11-28,2021-11-28,36
2021-12-05,2021-12-05,39
2021-12-12,2021-12-12,33
2021-12-19,2021-12-19,30
2021-12-26,2021-12-26,31
2022-01-02,2022-01-02,40
2022-01-09,2022-01-09,40
2022-01-16,2022-01-16,41
2022-01-23,2022-01-23,51
2022-01-30,2022-01-30,37
2022-02-06,2022-02-06,37
2022-02-13,2022-02-13,31
2022-02-20,2022-02-20,42
2022-02-27,2022-02-27,37
2022-03-06,2022-03-06,31
2022-03-13,2022-03-13,29
2022-03-20,2022-03-20,27
2022-03-27,2022-03-27,29
2022-04-03,2022-04-03,25
2022-04-10,2022-04-10,26
2022-04-17,2022-04-17,22
2022-04-24,2022-04-24,23
2022-05-01,2022-05-01,24
2022-05-08,2022-05-08,55
2022-05-15,2022-05-15,38
2022-05-22,2022-05-22,30
2022-05-29,2022-05-29,27
2022-06-05,2022-06-05,25
2022-06-12,2022-06-12,66
2022-06-19,2022-06-19,47
2022-06-26,2022-06-26,38
2022-07-03,2022-07-03,32
2022-07-10,2022-07-10,31
2022-07-17,2022-07-17,32
2022-07-24,2022-07-24,26
2022-07-31,2022-07-31,24
2022-08-07,2022-08-07,22
2022-08-14,2022-08-14,24
2022-08-21,2022-08-21,22
2022-08-28,2022-08-28,22
2022-09-04,2022-09-04,22
2022-09-11,2022-09-11,21
2022-09-18,2022-09-18,23
2022-09-25,2022-09-25,22
2022-10-02,2022-10-02,19
2022-10-09,2022-10-09,18
2022-10-16,2022-10-16,17
2022-10-23,2022-10-23,18
2022-10-30,2022-10-30,18
2022-11-06,2022-11-06,34
2022-11-13,2022-11-13,32
2022-11-20,2022-11-20,23
2022-11-27,2022-11-27,20
2022-12-04,2022-12-04,19
2022-12-11,2022-12-11,19
2022-12-18,2022-12-18,18
2022-12-25,2022-12-25,18
2023-01-01,2023-01-01,18
2023-01-08,2023-01-08,20
2023-01-15,2023-01-15,25
2023-01-22,2023-01-22,22
2023-01-29,2023-01-29,20
2023-02-05,2023-02-05,18
2023-02-12,2023-02-12,19
2023-02-19,2023-02-19,20
2023-02-26,2023-02-26,19
2023-03-05,2023-03-05,19
2023-03-12,2023-03-12,27
2023-03-19,2023-03-19,28
2023-03-26,2023-03-26,23
2023-04-02,2023-04-02,20
2023-04-09,2023-04-09,24
2023-04-16,2023-04-16,22
2023-04-23,2023-04-23,20
2023-04-30,2023-04-30,19
2023-05-07,2023-05-07,19
2023-05-14,2023-05-14,17
2023-05-21,2023-05-21,17
2023-05-28,2023-05-28,17
2023-06-04,2023-06-04,18
2023-06-11,2023-06-11,18
2023-06-18,2023-06-18,21
2023-06-25,2023-06-25,19
2023-07-02,2023-07-02,19
2023-07-09,2023-07-09,19
2023-07-16,2023-07-16,19
2023-07-23,2023-07-23,18
2023-07-30,2023-07-30,17
2023-08-06,2023-08-06,17
2023-08-13,2023-08-13,19
2023-08-20,2023-08-20,19
2023-08-27,2023-08-27,19
2023-09-03,2023-09-03,16
2023-09-10,2023-09-10,16
2023-09-17,2023-09-17,16
2023-09-24,2023-09-24,15
2023-10-01,2023-10-01,17
2023-10-08,2023-10-08,16
2023-10-15,2023-10-15,18
2023-10-22,2023-10-22,27
2023-10-29,2023-10-29,21
2023-11-05,2023-11-05,23
2023-11-12,2023-11-12,21
2023-11-19,2023-11-19,20
2023-11-26,2023-11-26,21
2023-12-03,2023-12-03,30
2023-12-10,2023-12-10,25
2023-12-17,2023-12-17,24
2023-12-24,2023-12-24,22
2023-12-31,2023-12-31,29
2024-01-07,2024-01-07,41
2024-01-14,2024-01-14,25
2024-01-21,2024-01-21,24
2024-01-28,2024-01-28,19
2024-02-04,2024-02-04,20
2024-02-11,2024-02-11,30
2024-02-18,2024-02-18,23
2024-02-25,2024-02-25,42
2024-03-03,2024-03-03,53
2024-03-10,2024-03-10,47
2024-03-17,2024-03-17,37
2024-03-24,2024-03-24,34
